Gene	Mean.Coverage	SD.Coverage	Length
IGFBP7	34.407660473	27.7877669409	1184
IGFBP4	44.3442001871	33.4245644105	1069
IGFBP5	41.9372818533	33.5159066348	1295
APLNR	55.1464566929	14.7355946739	1143
AC026369.1	0.5440625	0.103100002066	224
ADIRF-AS1	18.6175697211	11.3212417371	251
GJA9,MYCBP	43.5401219512	13.6399468242	82
WDR78	59.1177793427	26.0537183997	4260
RPL36A-HNRNPH2	52.5077165354	18.4555693916	127
RUNX1T1	54.4681190073	33.6068384905	3546
PYCARD	62.5576262626	28.1342255359	396
CD33	60.524584561	21.2315286025	1697
DNAJC17	48.7604707379	28.8567408602	2358
DCAF12L2	62.2171861777	19.9146894053	1418
DCAF12L1	60.2233967583	11.9252851467	1419
PDXDC2P,RP11-419C5.2	52.6420933977	30.8011344219	1242
RP13-996F3.4	1.09013707572	1.92075590512	1532
RP13-996F3.5	0.567429718876	0.904437994345	1743
NGFR	45.392	26.5652108907	1480
CWC25,MIR4727	0.189	0.0129756443747	50
CLK1	64.9406344522	25.1985362217	2711
CLK2	69.4057667304	21.2552152729	2615
CLK3	50.8023503926	35.3932015863	3693
CLK4	54.920735822	26.0609280172	2786
NDUFA6-AS1	26.7944909502	19.8366733271	884
HMOX1	60.3085067514	26.2298044319	1259
HMOX2	66.387240865	24.2326738472	1341
IFIH1	57.6527390921	21.6845007336	4538
ZFP69	64.1378058645	15.6592541555	1978
ZFP64	50.3249785996	32.5325630847	5841
ZFP62	14.1058220157	3.83714322976	2798
MUSTN1,TMEM110-MUSTN1	54.8303508772	3.97197187666	57
DMBT1	68.442083	31.6775485286	10000
GNPAT	70.4316480687	20.8930279814	3495
DCST2,ZBTB7B	41.805	2.45125931354	10
GAK	45.1116973853	24.0883117138	6999
RP11-809N15.2	74.9501020408	12.0589058903	196
MIR644A	53.8725531915	11.9046517461	94
PRAP1,ZNF511	64.0601304348	26.3817266191	690
CRYBG3	30.7346466787	30.8576308942	9439
RP11-1081L13.4	52.6261610032	27.3483274848	2472
AC074091.13	6.09839316239	1.81548169462	585
PROKR2	48.8609847764	38.1689942152	2102
PSORS1C1	65.40340729	30.2299573685	631
PSORS1C2	42.5157907543	19.9315506855	411
CTD-2521M24.10,NXNL1	24.4132707775	13.1516961997	373
SMG5	61.0096338716	26.6522407806	5326
SMG1	38.3223243857	28.7111403163	16727
R3HCC1L	64.5521943474	26.5575585592	3149
NOP58	62.2066830618	23.2374748597	3253
NOP56	67.3004750378	26.5749111549	3305
ZNF804B	66.2921342435	16.6634981417	4395
AC003101.1,MIR365B,MIR4725	5.17793103448	0.803165075144	29
FMNL2	38.7704623709	24.912841618	6099
RADIL	28.0237174006	21.2663998694	4678
COQ4	43.7213528212	25.0858155574	1471
PROS1	58.8265147304	26.3671764093	3598
AC008686.1	1.55109327984	1.23611513657	997
FTMT	66.4965758755	25.8993793728	771
DMRTC1	5.73955555556	8.3008161879	1080
DMRTC2	65.3184663537	28.0812089498	1917
MSANTD3,MSANTD3-TMEFF1	62.1757142857	1.01654409878	7
RP11-461A8.1	48.971122449	25.834699549	98
RP11-138H11.1	20.7163487738	19.8293492468	367
ME3	68.0556414066	23.9312078558	2019
KRT16P2	38.2889251844	27.0455965535	949
KRT16P1	0	0	127
DYRK4,RP11-500M8.7	49.6876279863	15.5377858592	586
DBF4B	53.2693703968	32.8504405554	4209
SPAG5-AS1	54.7120605112	27.7243224329	1917
C8orf44-SGK3,SGK3	64.3733105335	22.5281763669	3655
BAMBI	66.556700715	24.9386829402	979
AL360181.1,PAOX	0.930471698113	0.145185477927	106
REEP5,ZRSR1	50.0288888889	2.27089311848	45
PARD3B	59.9582071713	26.3778703714	6024
MIR155HG	35.6635365854	6.52551441161	164
BTNL2,HCG23	4.75090909091	0.453917409667	44
PXDN	40.7865318519	26.3670034719	6750
GS1-600G8.3	30.8345	3.01116252249	20
PPP4R1L,RAB22A	0.368	0.100405061977	35
RP11-297M9.1	1.53905963303	1.38009121342	436
ALX1	71.5552941176	21.5922620589	1275
ASB3,GPR75,GPR75-ASB3	2.11875	0.272018655493	48
CTIF	59.987636953	30.7552409381	3085
MIR374A	75.0354166667	8.29427478386	72
MIR374B	36.7843055556	7.74683939666	72
DHTKD1	71.4607736455	22.9834686774	4356
FARS2	67.4279587733	21.0325592917	1989
FARSB	55.8013038417	23.9679865803	3436
FARSA	58.841	29.6374629249	2660
TM4SF19-AS1	25.3544619423	15.881754097	381
MIR4319	0.587294117647	0.0134861688667	85
MIR4318	0.6325	0.0824544905797	180
MIR4313	1.15267326733	0.0852630176467	101
MIR4312	0.663026315789	0.0254568778836	76
MIR4311	1.1802	0.0455267709012	100
MIR4310	22.5833333333	6.50826214826	57
MIR4316	1.3538028169	0.148856270055	71
MIR4314	1.05391304348	0.0712210075463	92
CNDP1	69.6477712495	18.457024266	2553
CNDP2	57.1351210428	26.363496742	2685
AC069368.3,PLEKHO2	53.5119732785	35.2571477272	973
RP11-45M22.3	31.2781654229	31.0869517313	1608
RP11-45M22.4	5.52818181818	0.748869855586	22
HIST3H2A,HIST3H2BB	39.3408108108	10.4080085026	37
AC104134.2	46.6487640449	18.2200562333	445
GTF2A2	71.2537969925	12.514655569	532
ZG16B	61.4340116279	27.2632796718	860
KRTAP9-4	86.0544190871	16.4803987704	482
FAM110A	21.8436486486	18.7190565044	888
FAM110C	23.1900089686	22.7041117904	1115
FAM110B	54.711509434	21.5425109311	1113
FAM110D	6.62214460784	5.1754866695	816
PODNL1	22.9720008953	21.1268451928	2234
BDNF	67.6578535892	33.0130202699	1407
F11R,TSTD1	4.71071856287	1.52742975263	167
AC073626.2	1.3	0.292261298613	97
AC068620.1	0.122577777778	0.02436771833	450
TRNT1	56.4101920375	24.1873885925	2135
PMVK	59.3733058702	28.7000001668	971
CCDC117	45.6490422078	27.5487521817	1232
CCDC114	41.3836567835	30.5972112439	3339
DERL3	22.9552929936	17.4348088801	1570
C4orf50	32.8229651776	30.0588715572	2843
C4orf51	57.0948589065	24.2790831912	1134
SNORD42B	82.6802985075	0.95569104008	67
SNORD42A	61.80703125	6.652922184	64
C3orf70	62.3844418331	27.9152776642	851
GGCX	76.6888768898	22.6167945308	3704
AC007204.2	28.6684064171	32.2666808665	935
AC007204.1	41.9985654008	15.6442476178	237
CTD-2201G3.1	44.338440678	19.3145166303	295
OR6A2	80.9043597561	12.2016292292	984
KLKB1	68.9924579125	20.1015714942	3267
MCC	66.8983566215	24.0784811821	4795
MCU	39.8504246824	37.2108278629	2755
RP11-469H8.6	35.11884375	29.5495701199	320
IMPDH1	56.7726527526	28.649157717	3306
RP11-469H8.8	3.50053191489	3.37652904306	188
MIR564	3.53513513514	0.166560326436	37
MIR567	16.0131632653	0.530033255013	98
MIR566	0.217765957447	0.014602566818	94
MIR561	12.6013402062	3.00736375033	97
MIR563	62.7442696629	12.0616905232	178
MIR562	50.3578947368	10.6354029318	95
MIR569	80.805	4.30110463168	96
MIR568	43.4697894737	16.7883156543	95
CSNK1D	37.5166419594	36.1902242537	3103
CSNK1E	49.4491961799	31.8942546888	2513
PHYHD1,RP11-101E3.5	78.7755913978	10.777942637	186
RQCD1	48.5129419826	35.6818003852	2189
CTD-2619J13.8,CTD-2619J13.9	2.62512328767	1.5090364434	365
TRAJ10;TRAJ11,TRAJ12	19.35	2.10339408259	49
PARM1	69.1225097276	25.0467255948	1028
RP3-518E13.2	56.8560408163	17.6469444552	245
AP000487.5	45.3780694981	23.7563589072	518
AP000487.6	33.4197963978	29.5272275651	2554
TPSD1	50.1697009346	19.3703494568	1070
RP11-166N6.3	5.18371428571	1.15624579595	105
PRPH	38.8555592323	23.973947224	1511
AL139147.1,SGIP1	64.9255690073	22.125850858	413
BRWD1-IT1	37.7704591837	17.4529701621	196
SEMA5B	37.7903451743	23.5912558821	5968
CNTF,ZFP91-CNTF	49.0256637168	18.5468300563	113
LTC4S	18.1427085852	16.3109612772	827
HIST2H2BB,RP5-998N21.10	78.9003448276	9.51546295115	290
RP11-439H8.4	48.9974641676	17.1103072601	907
TRAJ42;TRAJ43	49.6928571429	7.76885341175	49
AC005264.2	27.487044335	26.8267254184	406
LCORL	33.088872381	30.3682704621	2625
IGKV2-40	0	0	265
RNF44	26.2251788079	18.2580402923	2265
RNF43	62.6513490909	29.5443944435	2750
RNF41	60.3984580052	28.6643510971	1524
RNF40	57.6772549843	25.0087989557	4765
SCAPER	40.0954967726	27.8732258496	7901
TBX20	43.1516211031	16.9342307976	2085
MARCH5	64.8605425772	29.8413856185	1327
MARCH4	53.1963193505	26.7312285579	1478
MARCH7	63.1652044855	21.1123818597	3032
MARCH6	64.5384988408	24.4842995957	5176
MARCH1	43.3697033639	35.9743438447	3270
MARCH3	53.5482410107	17.8091341688	1029
MARCH2	57.8068274384	18.3666323334	933
MARCH9	26.1690603567	22.449580299	1458
MARCH8	41.3285522323	32.7612350197	2307
RP11-474N8.5	12.9819565217	19.6017430649	138
RP11-552M11.4	62.8906	7.6300925209	50
MICALL1	48.8236579398	30.1662137366	4087
MICALL2	36.4368832676	28.8322347332	4309
RP11-81N13.1,SUCLG2	5.63173913043	0.394227116981	23
LNX2	65.5628316416	22.3644629712	2857
LNX1	63.5408951294	22.9128345972	2279
DIS3L	68.519295703	26.1112407358	3933
ISG20	56.0008792497	27.0637557042	853
AC091304.1	0	0	82
TMEM176A	55.4394915254	24.0615111815	1239
TMEM176B	47.2104830918	28.4389651638	1656
OR10V1	61.5429956897	17.1715260936	928
RSPH6A	56.8314230621	21.5679355651	2593
AC004692.4	63.6847761194	6.74986337869	67
PBK	51.3550505051	18.6413566091	1485
OR51G2	60.3006772487	13.900660055	945
OR51G1	70.0063871636	10.689787761	966
RP11-296A16.1,SERF2,SERINC4	46.6839108911	29.906702429	404
RXFP1	47.2435387363	25.2248787633	4479
RXFP3	58.3909503546	24.6895024849	1410
RXFP2	62.2104757059	20.38637769	3931
RXFP4	73.7719983416	18.3169304148	1206
DSPP	34.5629724311	23.4382813914	3990
RP11-398K22.12	46.8023157895	17.2800701494	95
LINC00493	4.93342198582	1.91785139898	564
PATZ1	65.6507496136	23.0791823269	2588
ENAH	42.9047613065	30.4804633711	3980
ENAM	82.72963548	12.2329046256	4115
YES1	62.6602718224	25.0442470203	2612
SLAIN1;MIR3665	0.772916666667	0.205478850423	24
FBRS	18.063272457	24.1881869952	4709
AC007956.1	8.77226277372	9.28815757881	411
MIR376C,MIR654;AL132709.2	45.47975	3.96682750428	40
PDILT	80.2411553785	18.165713492	2761
PHRF1	43.5369721238	24.1942368989	6493
RP11-148O21.4	41.6375496689	13.6655501642	151
RP11-148O21.3	1.15896825397	0.417062062442	252
RP11-148O21.2	4.05928712871	1.19507350455	505
RDH11,RP11-1012A1.4	62.4597785978	20.8475179431	542
GUK1	38.9487692308	26.7682930057	1950
ZNF438;ZNF438	93.3675	3.03167033168	4
HINT1	43.2594191919	26.971611548	792
HINT2	63.8676058041	30.4538567726	827
HINT3	48.5148140276	28.1895472346	941
SLC4A11	63.2815979044	24.297106745	4581
SLC4A10	37.7267159763	26.4242958798	6422
C11orf96	2.93444685466	2.73439213446	1844
C11orf95	3.17232894737	3.18209369546	2280
C11orf94	52.6179876797	28.7814162232	487
C11orf91	2.67181981982	1.43495384269	555
ZNF567	55.5512160295	15.9445483885	2171
ZNF560	76.6988623733	21.1795023431	3059
RPL12,SNORA65	89.6725	0.16255768207	4
DPH1,OVCA2	37.1355102041	33.4467276726	98
NAGPA	45.1874366893	32.7083670083	1619
SYT14	49.4643835616	29.8913911359	3066
NXPE1	60.978312471	29.0812039442	2157
NXPE2	18.8256677659	18.0707684598	2426
NXPE3	75.7969305019	16.8965154291	2072
NXPE4	75.9237173282	19.080411885	2066
MAGEB1	43.5608812261	18.0774047051	1044
ZBTB10	31.9354491945	26.332034632	3228
BMP1	63.6789475477	23.9314802953	5872
RP11-573D15.9	90.6809803922	6.65474170409	102
STIL	68.4502113068	24.1318361792	5395
MYADML	28.5919019139	13.2372719513	836
KIAA1407,QTRTD1	10.7458823529	0.811750106433	17
AF196779.12,WDR45	29.9586825596	16.1723221597	1594
RP11-325K4.3	49.9089473684	3.73522406696	19
TMEM38A	59.8307338129	25.6264373486	1390
TMEM38B	59.3993986486	24.1228411754	1480
POU6F2-AS2	68.4414893617	6.10890938061	47
POR,TMEM120A	6.40433862434	4.97985796299	189
CTD-2117L12.1	2.05939668175	1.79634731714	663
PIWIL4	67.0580259366	21.5328016779	2776
PIWIL3	66.9635642682	21.8256651679	4489
PIWIL2	62.4948505517	21.4339337751	4985
PIWIL1	63.3542432312	21.8457459393	4506
KIAA0586	31.7278174413	24.5596258702	8348
PCDH18	77.0952530964	17.7313663414	3714
ADPRH	74.8489386792	16.0347471064	1272
ADPRM	66.1424284717	29.7049471802	1433
LAP3	67.3577209302	24.6003230488	2150
PCDH11X	56.5690728477	29.443248675	5134
PAK4	35.7660905189	28.6302355668	2563
PAK3	56.6307662377	26.0334299883	3341
MRPS27,PTCD2	43.9826086957	5.17425869507	46
AC104534.3,ECH1	49.5422431078	24.7975743057	798
RNU6-406P;MIR2117	5.64530612245	0.269753761488	49
PTPRB;PTPRR	14.7575	0.249048188108	4
RP11-321C24.1	39.8562624035	23.4778056443	907
CTD-3018O17.3	1.56553398058	0.186661737445	103
OR5M8	73.4208316008	15.9309571517	962
OR5M9	60.5845410628	21.3472998999	1035
OR5M3	71.490620985	23.8854414672	934
OR5M1	76.8843553009	14.8287982098	1047
XKRX	76.4498170347	17.8982218103	1585
XKR4	56.9126745201	28.9762691365	2292
XKR7	37.3074535124	27.030664965	1936
XKR6	42.5502264006	29.638894444	2606
XKR3	43.6739393939	34.1783502128	1617
XKR9	54.0129736842	29.7974351588	1520
XKR8	42.0779483601	29.7978650412	1433
NAPSB	19.1403325688	13.8335277336	872
SZT2-AS1	67.2012681159	18.4602792903	276
RP11-296A16.1,SERF2	8.83051020408	9.23588818185	196
C5orf17	1.73691954023	0.836650085287	870
C5orf15	49.5272132797	22.5376044843	994
MTFP1	56.2214975845	37.7263073876	207
MIR1228	81.595890411	2.47671704503	73
MIR1229	40.9297101449	4.8848616607	69
MIR1224	10.4118823529	1.31677410121	85
MIR1225	77.9906666667	0.545073544156	90
MIR1226	60.5944	2.714292621	75
MIR1227	86.9017045455	3.9120183877	88
ADD3	67.520801873	19.6411685168	3417
ADD2	57.2614536478	24.3190791899	3646
ADD1	61.3298168328	28.8910676791	4313
AL353763.1;MIR1299	0.4628	0.00453557367611	50
DUSP9	39.5456463878	35.2192325139	1578
DUSP8	30.1291342905	33.0658548768	2368
DUSP5	57.3627536232	30.365696876	1449
DUSP4	41.4211137441	24.3675174834	1688
DUSP7	45.2341476159	32.1832244549	1531
DUSP6	60.2004027356	31.6040120965	1316
DUSP1	48.5400082919	34.0672496055	1206
DUSP3	38.9394025735	36.8335215099	1088
DUSP2	28.0727354627	26.8175737779	1221
CNNM1	31.4568021548	22.5779573973	4084
CNNM3	41.5279738331	32.4806392371	2828
CNNM2	57.68265	27.8613545768	3400
CNNM4	60.2333096774	28.1071561148	3100
hsa-mir-3669	0.0191358024691	0.0028273357	81
AC004893.11	47.9436923077	21.7688590755	845
RP11-342M21.2	2.04433862434	0.541914662788	189
PIM2	31.6077317416	13.9891994674	1424
PIM3	25.7466425993	22.2893535572	1385
PIM1	53.3643162147	28.208720894	1733
TYROBP	43.0100458716	15.9887859524	872
APOPT1	49.7842783505	45.4080234715	194
SBSPON	51.2775905644	24.1318934128	1187
ERGIC2	51.8576659619	22.4729800885	2365
ERGIC3	61.683078203	29.1568500414	3005
ERGIC1	34.8623975347	31.6207113688	3245
NLRC4,SLC30A6	47.2058064516	5.52620832892	31
FAM134B	50.5503341794	26.144418332	2364
TRAV23DV6	24.6871451613	11.3989257243	620
MSC,RP11-383H13.1	76.7733944954	12.9265649687	109
RAB33A	55.6650615764	14.9137800584	812
RAB33B	61.8117639594	25.5566157621	788
GHITM	59.1978974654	20.8728935982	1736
EPB41L1	35.3785099742	28.5278386534	7369
EPB41L3	63.3675919275	28.2149339134	5847
EPB41L2	64.7127142602	32.2134678097	5589
EPB41L5	59.3593186627	24.7029998127	4726
MIR1-1	89.234025974	2.82019375022	77
FAM47E,FAM47E-STBD1	8.65801110083	12.8581764887	1081
LMX1A	63.2143875791	23.7879757102	1739
LMX1B	34.6330989583	24.7937246013	1920
ADAM10	45.3510326994	26.1523651248	5994
ADAM11	53.4987429877	27.7253908768	4813
ADAM12	58.4144180052	26.5444642422	5043
ADAM15	56.1565004174	25.2338669474	4792
ADAM17	62.2861501976	23.7544212351	3795
ADAM18	48.5741505838	20.243295261	4197
ADAM19	50.7689924757	30.1764163191	5449
ADAM1A	4.94783071749	1.57359954828	1784
VPRBP	51.6710672281	27.3725864433	6887
ADCY10	67.9759783654	24.8091271211	8320
AC009060.1	0.030964360587	0.0274610646498	477
CSNK1A1L	93.228234714	4.12155240357	1014
KIAA1644	74.6835487404	19.2469695753	913
ZNF658	35.7958023672	33.9927836533	3633
ZNF655	66.5244604701	20.7715831696	1872
ZNF654	54.7168922018	22.6573595581	1744
ZNF653	53.1606390704	27.1947630587	1377
ZNF652	70.5993086308	20.2853820425	2213
LGALS13	67.0910694444	17.4596375814	720
LGALS12	60.3630297824	17.0272691704	1746
LGALS16	28.8021196359	19.8438045224	769
LGALS14	76.5204403244	19.6563784076	863
UBAC2,UBAC2-AS1	0.863650793651	0.291842321475	63
MYO19	46.4854058107	28.9436582175	5335
MYO10	43.0165847953	25.4345693637	10260
MYLK4	75.9222458202	22.7366842908	2213
MYLK2	58.3533952999	23.4611872804	2851
MYLK3	59.8503854007	27.433341409	3918
MIR3943	1.2681	0.0636069845603	100
MIR3942	4.19467889908	1.76531214783	109
MIR3941	0.465922330097	0.0416906650859	103
MIR3940	30.128625	0.998835706704	80
MIR3945	0.7	0.0415176027753	98
MIR3944	0.806666666667	0.0269994807842	108
SKIL	70.8397638725	21.3409340085	2541
RP11-3B7.1	6.49111111111	1.3695634304	441
ST7,ST7-OT4	3.24482248521	0.971250286862	338
C9orf37,EHMT1	0.01	1.80555743921e-18	13
RP11-111E14.1	36.5530107527	26.1549474495	372
CTB-47B11.3	8.96991111111	10.4453179016	900
RP11-3D4.2	23.5627368421	11.3525314037	380
RP11-3D4.3	49.2578723404	9.14980991396	47
SNORA25;KIAA1731,SNORA32,SNORD6	58.3060204082	10.586816616	98
AMH	12.6090292683	10.267258374	2050
AMN	23.6174686192	25.3898853536	2390
AMT	69.0318669315	21.4539733585	2014
MIR296;MIR298	30.6202040816	5.93019655724	49
RP11-367J7.3	51.5938135593	22.09436227	236
MESP1	16.3953259669	24.2351967208	905
MESP2	20.7259507042	18.1151408454	1420
DBNDD1	25.4088749126	29.6167301034	1431
RP11-556G22.2	51.5697435897	11.4728036511	39
ARFRP1	48.6875257732	29.13442686	1649
AC016738.4	25.2535616438	26.349609229	219
AC016738.3	55.6498979592	21.5213141575	196
HDGF	47.7798849182	31.1080813419	1651
C4orf19,RELL1	2.24895833333	0.223285330133	48
RP11-342K6.2	45.9637254902	11.930810428	102
OCIAD2	71.7119057592	20.4408836669	955
OCIAD1	59.5327063891	22.2547171594	1393
RP11-729L2.2	20.8410576923	9.15914397135	104
LMOD1	45.1680302336	23.6660308674	2183
LMOD3	54.7974933333	28.6146029621	1875
LMOD2	37.042569863	27.2763246463	1825
MFAP3L	81.9192105263	13.7734315242	1292
NUS1	45.8632339089	34.883644282	1274
MIR1302-9,WASH5P	0.006	0.0050262468995	20
RFC5	65.4520336538	23.2328398764	2080
RFC4	66.1101160542	19.9703368507	2068
RFC1	57.57532461	24.4421543478	5961
RFC3	53.6150071395	24.5393288196	2101
RFC2	52.9445338809	30.3403150159	2435
SSR1	47.8624162837	26.4745031249	1523
SSR2	41.2955673524	30.6714325342	1507
SSR3	46.4536609829	16.2493586941	997
C6orf57	53.1946727273	26.6942831484	550
C6orf52	8.29369649805	3.74407675705	1028
C6orf58	71.3434099869	23.8699745347	1522
SH2D4A	54.2293354148	22.9864060996	2242
SH2D4B	40.190942029	29.977243393	2070
ATAD1	56.3857592408	23.0058792118	2002
